20240728-19:52:24 Train Epoch: 69/75 ...
20240728-19:53:14 training: 128 / 5000
20240728-19:53:18 training: 256 / 5000
20240728-19:53:21 training: 384 / 5000
20240728-19:53:24 training: 512 / 5000
20240728-19:53:28 training: 640 / 5000
20240728-19:53:31 training: 768 / 5000
20240728-19:53:35 training: 896 / 5000
20240728-19:53:38 training: 1024 / 5000
20240728-19:53:41 training: 1152 / 5000
20240728-19:53:45 training: 1280 / 5000
20240728-19:53:48 training: 1408 / 5000
20240728-19:53:51 training: 1536 / 5000
20240728-19:53:55 training: 1664 / 5000
20240728-19:53:58 training: 1792 / 5000
20240728-19:54:01 training: 1920 / 5000
20240728-19:54:05 training: 2048 / 5000
20240728-19:54:08 training: 2176 / 5000
20240728-19:54:11 training: 2304 / 5000
20240728-19:54:15 training: 2432 / 5000
20240728-19:54:18 training: 2560 / 5000
20240728-19:54:21 training: 2688 / 5000
20240728-19:54:25 training: 2816 / 5000
20240728-19:54:28 training: 2944 / 5000
20240728-19:54:31 training: 3072 / 5000
20240728-19:54:35 training: 3200 / 5000
20240728-19:54:38 training: 3328 / 5000
20240728-19:54:42 training: 3456 / 5000
20240728-19:54:45 training: 3584 / 5000
20240728-19:54:48 training: 3712 / 5000
20240728-19:54:51 training: 3840 / 5000
20240728-19:54:55 training: 3968 / 5000
20240728-19:54:58 training: 4096 / 5000
20240728-19:55:02 training: 4224 / 5000
20240728-19:55:05 training: 4352 / 5000
20240728-19:55:08 training: 4480 / 5000
20240728-19:55:12 training: 4608 / 5000
20240728-19:55:15 training: 4736 / 5000
20240728-19:55:18 training: 4864 / 5000
20240728-19:55:22 training: 4992 / 5000
20240728-19:55:22 training: 5000 / 5000
20240728-19:55:26     total_loss: 24.7245 time: 3m 2s
20240728-19:55:26 Test Epoch: 69 ...
20240728-19:58:51     ave: 98.6333
20240728-19:58:51 Saving checkpoint: 69
20240728-19:58:51 Train Epoch: 70/75 ...
