20240728-20:07:11 Train Epoch: 69/75 ...
20240728-20:07:49 training: 256 / 105000
20240728-20:07:57 training: 512 / 105000
20240728-20:08:05 training: 768 / 105000
20240728-20:08:13 training: 1024 / 105000
20240728-20:08:21 training: 1280 / 105000
20240728-20:08:28 training: 1536 / 105000
20240728-20:08:36 training: 1792 / 105000
20240728-20:08:44 training: 2048 / 105000
20240728-20:08:52 training: 2304 / 105000
20240728-20:08:59 training: 2560 / 105000
20240728-20:09:07 training: 2816 / 105000
20240728-20:09:15 training: 3072 / 105000
20240728-20:09:23 training: 3328 / 105000
20240728-20:09:30 training: 3584 / 105000
20240728-20:09:38 training: 3840 / 105000
20240728-20:09:46 training: 4096 / 105000
20240728-20:09:54 training: 4352 / 105000
20240728-20:10:02 training: 4608 / 105000
20240728-20:10:09 training: 4864 / 105000
20240728-20:10:17 training: 5120 / 105000
20240728-20:10:25 training: 5376 / 105000
20240728-20:10:33 training: 5632 / 105000
20240728-20:10:40 training: 5888 / 105000
20240728-20:10:48 training: 6144 / 105000
20240728-20:10:56 training: 6400 / 105000
20240728-20:11:04 training: 6656 / 105000
20240728-20:11:12 training: 6912 / 105000
20240728-20:11:19 training: 7168 / 105000
20240728-20:11:27 training: 7424 / 105000
20240728-20:11:35 training: 7680 / 105000
20240728-20:11:43 training: 7936 / 105000
20240728-20:11:51 training: 8192 / 105000
20240728-20:11:58 training: 8448 / 105000
20240728-20:12:06 training: 8704 / 105000
20240728-20:12:14 training: 8960 / 105000
20240728-20:12:22 training: 9216 / 105000
20240728-20:12:29 training: 9472 / 105000
20240728-20:12:37 training: 9728 / 105000
20240728-20:12:45 training: 9984 / 105000
20240728-20:12:53 training: 10240 / 105000
20240728-20:13:00 training: 10496 / 105000
20240728-20:13:08 training: 10752 / 105000
20240728-20:13:16 training: 11008 / 105000
20240728-20:13:23 training: 11264 / 105000
20240728-20:13:31 training: 11520 / 105000
20240728-20:13:39 training: 11776 / 105000
20240728-20:13:47 training: 12032 / 105000
20240728-20:13:54 training: 12288 / 105000
20240728-20:14:02 training: 12544 / 105000
20240728-20:14:10 training: 12800 / 105000
20240728-20:14:18 training: 13056 / 105000
20240728-20:14:25 training: 13312 / 105000
20240728-20:14:33 training: 13568 / 105000
20240728-20:14:41 training: 13824 / 105000
20240728-20:14:49 training: 14080 / 105000
20240728-20:14:57 training: 14336 / 105000
20240728-20:15:05 training: 14592 / 105000
20240728-20:15:12 training: 14848 / 105000
20240728-20:15:20 training: 15104 / 105000
20240728-20:15:28 training: 15360 / 105000
20240728-20:15:36 training: 15616 / 105000
20240728-20:15:43 training: 15872 / 105000
20240728-20:15:51 training: 16128 / 105000
20240728-20:15:59 training: 16384 / 105000
20240728-20:16:07 training: 16640 / 105000
20240728-20:16:15 training: 16896 / 105000
20240728-20:16:22 training: 17152 / 105000
20240728-20:16:30 training: 17408 / 105000
20240728-20:16:38 training: 17664 / 105000
20240728-20:16:46 training: 17920 / 105000
20240728-20:16:53 training: 18176 / 105000
20240728-20:17:01 training: 18432 / 105000
20240728-20:17:09 training: 18688 / 105000
20240728-20:17:17 training: 18944 / 105000
20240728-20:17:24 training: 19200 / 105000
20240728-20:17:32 training: 19456 / 105000
20240728-20:17:40 training: 19712 / 105000
20240728-20:17:48 training: 19968 / 105000
20240728-20:17:55 training: 20224 / 105000
20240728-20:18:03 training: 20480 / 105000
20240728-20:18:11 training: 20736 / 105000
20240728-20:18:18 training: 20992 / 105000
20240728-20:18:26 training: 21248 / 105000
20240728-20:18:34 training: 21504 / 105000
20240728-20:18:42 training: 21760 / 105000
20240728-20:18:49 training: 22016 / 105000
20240728-20:18:57 training: 22272 / 105000
