20240728-21:07:52 Train Epoch: 70/75 ...
20240728-21:10:07 training: 256 / 105000
20240728-21:10:16 training: 512 / 105000
20240728-21:10:25 training: 768 / 105000
20240728-21:10:34 training: 1024 / 105000
20240728-21:10:42 training: 1280 / 105000
20240728-21:10:50 training: 1536 / 105000
20240728-21:10:59 training: 1792 / 105000
20240728-21:11:07 training: 2048 / 105000
20240728-21:11:16 training: 2304 / 105000
20240728-21:11:24 training: 2560 / 105000
20240728-21:11:32 training: 2816 / 105000
20240728-21:11:41 training: 3072 / 105000
20240728-21:11:49 training: 3328 / 105000
20240728-21:11:58 training: 3584 / 105000
20240728-21:12:06 training: 3840 / 105000
20240728-21:12:14 training: 4096 / 105000
20240728-21:12:23 training: 4352 / 105000
20240728-21:12:31 training: 4608 / 105000
20240728-21:12:40 training: 4864 / 105000
20240728-21:12:48 training: 5120 / 105000
20240728-21:12:56 training: 5376 / 105000
20240728-21:13:05 training: 5632 / 105000
20240728-21:13:13 training: 5888 / 105000
20240728-21:13:22 training: 6144 / 105000
20240728-21:13:30 training: 6400 / 105000
20240728-21:13:38 training: 6656 / 105000
20240728-21:13:47 training: 6912 / 105000
20240728-21:13:55 training: 7168 / 105000
20240728-21:14:03 training: 7424 / 105000
20240728-21:14:12 training: 7680 / 105000
20240728-21:14:20 training: 7936 / 105000
20240728-21:14:29 training: 8192 / 105000
20240728-21:14:37 training: 8448 / 105000
20240728-21:14:45 training: 8704 / 105000
20240728-21:14:54 training: 8960 / 105000
20240728-21:15:02 training: 9216 / 105000
20240728-21:15:11 training: 9472 / 105000
20240728-21:15:19 training: 9728 / 105000
20240728-21:15:27 training: 9984 / 105000
20240728-21:15:36 training: 10240 / 105000
20240728-21:15:44 training: 10496 / 105000
20240728-21:15:52 training: 10752 / 105000
20240728-21:16:01 training: 11008 / 105000
20240728-21:16:09 training: 11264 / 105000
20240728-21:16:17 training: 11520 / 105000
20240728-21:16:26 training: 11776 / 105000
20240728-21:16:34 training: 12032 / 105000
20240728-21:16:42 training: 12288 / 105000
20240728-21:16:51 training: 12544 / 105000
20240728-21:16:59 training: 12800 / 105000
20240728-21:17:08 training: 13056 / 105000
20240728-21:17:16 training: 13312 / 105000
20240728-21:17:24 training: 13568 / 105000
20240728-21:17:33 training: 13824 / 105000
20240728-21:17:41 training: 14080 / 105000
20240728-21:17:49 training: 14336 / 105000
20240728-21:17:58 training: 14592 / 105000
20240728-21:18:06 training: 14848 / 105000
20240728-21:18:14 training: 15104 / 105000
20240728-21:18:23 training: 15360 / 105000
20240728-21:18:31 training: 15616 / 105000
20240728-21:18:40 training: 15872 / 105000
20240728-21:18:48 training: 16128 / 105000
20240728-21:18:56 training: 16384 / 105000
20240728-21:19:05 training: 16640 / 105000
20240728-21:19:13 training: 16896 / 105000
20240728-21:19:22 training: 17152 / 105000
20240728-21:19:30 training: 17408 / 105000
20240728-21:19:39 training: 17664 / 105000
20240728-21:19:47 training: 17920 / 105000
20240728-21:19:55 training: 18176 / 105000
20240728-21:20:04 training: 18432 / 105000
20240728-21:20:12 training: 18688 / 105000
20240728-21:20:21 training: 18944 / 105000
20240728-21:20:29 training: 19200 / 105000
20240728-21:20:37 training: 19456 / 105000
20240728-21:20:46 training: 19712 / 105000
20240728-21:20:54 training: 19968 / 105000
20240728-21:21:02 training: 20224 / 105000
20240728-21:21:11 training: 20480 / 105000
20240728-21:21:19 training: 20736 / 105000
20240728-21:21:28 training: 20992 / 105000
20240728-21:21:36 training: 21248 / 105000
20240728-21:21:44 training: 21504 / 105000
20240728-21:21:53 training: 21760 / 105000
20240728-21:22:01 training: 22016 / 105000
20240728-21:22:10 training: 22272 / 105000
20240728-21:22:18 training: 22528 / 105000
20240728-21:22:27 training: 22784 / 105000
20240728-21:22:35 training: 23040 / 105000
20240728-21:22:43 training: 23296 / 105000
20240728-21:22:52 training: 23552 / 105000
20240728-21:23:00 training: 23808 / 105000
20240728-21:23:08 training: 24064 / 105000
20240728-21:23:17 training: 24320 / 105000
20240728-21:23:25 training: 24576 / 105000
20240728-21:23:34 training: 24832 / 105000
20240728-21:23:42 training: 25088 / 105000
20240728-21:23:50 training: 25344 / 105000
20240728-21:23:59 training: 25600 / 105000
20240728-21:24:07 training: 25856 / 105000
20240728-21:24:16 training: 26112 / 105000
20240728-21:24:24 training: 26368 / 105000
20240728-21:24:32 training: 26624 / 105000
20240728-21:24:41 training: 26880 / 105000
20240728-21:24:49 training: 27136 / 105000
20240728-21:24:57 training: 27392 / 105000
20240728-21:25:06 training: 27648 / 105000
20240728-21:25:14 training: 27904 / 105000
20240728-21:25:23 training: 28160 / 105000
20240728-21:25:31 training: 28416 / 105000
20240728-21:25:40 training: 28672 / 105000
20240728-21:25:48 training: 28928 / 105000
20240728-21:25:57 training: 29184 / 105000
20240728-21:26:06 training: 29440 / 105000
20240728-21:26:15 training: 29696 / 105000
20240728-21:26:24 training: 29952 / 105000
20240728-21:26:33 training: 30208 / 105000
20240728-21:26:41 training: 30464 / 105000
20240728-21:26:50 training: 30720 / 105000
20240728-21:26:59 training: 30976 / 105000
20240728-21:27:08 training: 31232 / 105000
20240728-21:27:17 training: 31488 / 105000
20240728-21:27:26 training: 31744 / 105000
20240728-21:27:34 training: 32000 / 105000
20240728-21:27:43 training: 32256 / 105000
20240728-21:27:52 training: 32512 / 105000
20240728-21:28:00 training: 32768 / 105000
20240728-21:28:09 training: 33024 / 105000
20240728-21:28:18 training: 33280 / 105000
20240728-21:28:26 training: 33536 / 105000
20240728-21:28:35 training: 33792 / 105000
20240728-21:28:44 training: 34048 / 105000
20240728-21:28:53 training: 34304 / 105000
20240728-21:29:02 training: 34560 / 105000
20240728-21:29:11 training: 34816 / 105000
20240728-21:29:19 training: 35072 / 105000
20240728-21:29:28 training: 35328 / 105000
20240728-21:29:37 training: 35584 / 105000
20240728-21:29:45 training: 35840 / 105000
20240728-21:29:54 training: 36096 / 105000
20240728-21:30:02 training: 36352 / 105000
20240728-21:30:11 training: 36608 / 105000
20240728-21:30:20 training: 36864 / 105000
20240728-21:30:29 training: 37120 / 105000
20240728-21:30:37 training: 37376 / 105000
20240728-21:30:46 training: 37632 / 105000
20240728-21:30:55 training: 37888 / 105000
20240728-21:31:03 training: 38144 / 105000
